http://dev.actmapi.act.gov.au/images/run-sample/1110d9fd-f227-4586-b695-8168ac85299d.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/9ae9c552-f3bf-4e96-8c25-c18ff8f78c50.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/b92063f0-717c-4799-a7a2-5aafb0d4c6ea.jpg, R
http://dev.actmapi.act.gov.au/images/run-sample/e5ad702e-197f-482b-b212-5ae8fd036246.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/55a0d589-cbf0-4ee6-807c-5297feca6df9.jpg, R
http://dev.actmapi.act.gov.au/images/run-sample/1b1666c8-1406-488b-a1aa-37939e70a0c0.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/e5817e5e-ff4d-4bc3-94ff-294f081a7783.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/06739f2c-cad3-4b0c-b984-c3e9b7f3f417.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/b243ceeb-2e65-442f-8a5b-3ffe5f288653.jpg, R
http://dev.actmapi.act.gov.au/images/run-sample/286ae699-cb37-47a6-bfe0-8842c89f8082.jpg, L
http://dev.actmapi.act.gov.au/images/run-sample/cfdee542-feb2-480f-922d-f2d6de84c3e2.jpg, R
http://dev.actmapi.act.gov.au/images/run-sample/b84a36af-1286-4006-bf81-b54dbc75a0da.jpg, L
