z:\hap\1975\9\4461.pdf, 1975, 9, c60bebea-7031-4402-b1ac-0fd37c6b7f18
z:\hap\1975\8\4434.pdf, 1975, 8, c08b794b-c906-464e-8216-9d9aa2b7c069
z:\hap\1979\11\540.pdf, 1979, 11, 2a5a53bc-6d4d-4fa5-a1a2-d6baabeac791
z:\hap\1986\19\24.pdf, 1986, 19, cf2e8afd-7632-440f-9084-8872b7c178a1
z:\hap\1986\18\121.pdf, 1986, 18, 027b3f75-9cc8-4121-a07e-8ab3f5d4f661
z:\hap\1983\15\118.pdf, 1983, 15, 79b42eea-05c6-4bcf-8754-969ec3207069
z:\hap\1986\11\120.pdf, 1986, 11, ab757a4e-e40c-4567-817b-f569fea2da6b
z:\hap\1983\12\122.pdf, 1983, 12, a34c98d5-bd13-401a-ab49-4bf184384540
z:\hap\1986\13\100.pdf, 1986, 13, 3b63f7e2-a877-4417-89fb-e961b0569ea4
z:\hap\1986\12\100.pdf, 1986, 12, 24b49b61-df6f-418e-8850-818d92198ef4
z:\hap\1986\15\1.pdf, 1986, 15, 3f27b943-8c1d-4db8-8a63-946b8abc45df
z:\hap\1986\14\10.pdf, 1986, 14, f891c39e-7e4b-4c8a-95ca-92f02bf1dfd5
z:\hap\1986\17\100.pdf, 1986, 17, 4872aed1-371d-4675-9569-788010d17335
z:\hap\1979\16\750.pdf, 1979, 16, a378feb4-f5f4-45f9-882f-3e4b0aa9693d
z:\hap\1979\15\704.pdf, 1979, 15, 1f6addff-463a-4c65-a2bc-c8ad5f792943
z:\hap\1979\9\474.pdf, 1979, 9, 48c8a1aa-434b-41ed-baaa-4b6dfc708af1
z:\hap\1979\8\227.pdf, 1979, 8, 805fe18d-1a41-40d9-9298-3d431058b060
z:\hap\1979\7\203.pdf, 1979, 7, 7c12f71f-4329-43e4-bc6d-52acc90d9f8e
z:\hap\1979\6\180.pdf, 1979, 6, c0226732-877d-4c0b-a038-7c075eaa1998
z:\hap\1979\5\755.pdf, 1979, 5, 2af535d9-f0b8-4886-bc40-55b8add093b6
z:\hap\1979\4\120.pdf, 1979, 4, df8008a3-ae6b-4899-85b6-61a9fb72b25f
z:\hap\1979\3\107.pdf, 1979, 3, 0b4cb981-0cab-41c3-b78b-6ef7b6fee9e7
z:\hap\1979\2\743.pdf, 1979, 2, d1ab1fa7-754a-4045-9820-787ea593c997
z:\hap\1979\1\89.pdf, 1979, 1, 675e1991-68bb-4f32-a3db-4cf209c984fd
z:\hap\1961\1\1.pdf, 1961, 1, 0d70e7a7-ecba-4493-a227-9888665949d8
z:\hap\1961\2\45.pdf, 1961, 2, c5c9ae29-96fd-47c5-a62a-49046b2d6ee6
z:\hap\1961\3\100.pdf, 1961, 3, daa0f29a-5218-4d08-b5b6-f23a3e958b76
z:\hap\1961\4\118.pdf, 1961, 4, 1f7a1f6a-2d1c-4aa7-90ac-0bcdb2bc068c
z:\hap\1961\5\155.pdf, 1961, 5, 467f92e0-870f-4955-a576-8dad6578c851
z:\hap\1961\6\194.pdf, 1961, 6, 19cd2277-112a-431c-be63-b108f8212181
z:\hap\1961\7\10.pdf, 1961, 7, e8fbab0d-1459-476b-8c78-5b164eaa9084
z:\hap\1961\8\48.pdf, 1961, 8, 9a451b36-ace6-4fff-82e6-96b05b8836cf
z:\hap\1961\9\100.pdf, 1961, 9, 9e35b397-d654-4286-8b65-ff284346a34d
z:\hap\1951\1\5058.pdf, 1951, 1, c749abdc-60c8-42f5-bde7-b593614bad04
z:\hap\1951\3\5118.pdf, 1951, 3, 8b03b7ba-7a61-4310-bd72-acfbf9ad8c51
z:\hap\1951\2\5087.pdf, 1951, 2, 44338aad-2ff2-4fbf-b569-6cfa3b82b69d
z:\hap\1951\5\5187.pdf, 1951, 5, 905961a3-7698-4ec3-981f-7a67fc0f8351
z:\hap\1951\4\5151.pdf, 1951, 4, 4b3c851f-3d1f-4beb-a3f8-97d5b6e5c283
z:\hap\1951\7\5058.pdf, 1951, 7, c582c056-a9c4-461c-ba0e-0fc1c76ba18a
z:\hap\1951\6\5011.pdf, 1951, 6, f5be74ab-0381-443f-97cd-13700a4749c4
z:\hap\1951\9\5088.pdf, 1951, 9, a03e3f82-ad84-49c2-961d-5d63dcdde52e
z:\hap\1951\8\5021.pdf, 1951, 8, 6ed709c1-a574-4307-95d4-a2996d51ad4a
z:\hap\1993\23\1.pdf, 1993, 23, 1282873c-992c-46e7-990f-7772c6d842e9
z:\hap\1997\17\1.pdf, 1997, 17, 9c62cc50-a542-4f0c-8dec-6213a0519e38
z:\hap\1997\16\168.pdf, 1997, 16, 048a7c82-20f6-458e-b2c1-fd0d5f48e4fa
z:\hap\1997\15\134.pdf, 1997, 15, 7f32ee3d-ee8f-45cb-851c-efbb347ecd51
z:\hap\1997\14\62.pdf, 1997, 14, 4836e532-84fb-4da0-9a77-71bacdb84ddf
z:\hap\1997\13\100.pdf, 1997, 13, be9030c6-e78a-4828-9355-69778cc88a91
z:\hap\1997\12\154.pdf, 1997, 12, 9aeb2399-08a6-43bf-a023-e97df6344808
z:\hap\1997\11\100.pdf, 1997, 11, e82fee41-dbc8-483c-ace3-6e0e3b3bfae8
z:\hap\1997\10\121.pdf, 1997, 10, ca1880fc-c6be-4141-ba67-38b942341514
z:\hap\1997\19\131.pdf, 1997, 19, e125640d-9e96-4c16-89fa-836ddf60b2ce
z:\hap\1997\18\163.pdf, 1997, 18, a176d4c1-1c2a-4202-9cb7-e55fdcd1f299
z:\hap\1993\7\169.pdf, 1993, 7, ee85fc6d-a65f-4490-9053-46a71940e13c
z:\hap\1993\6\138.pdf, 1993, 6, 902031d8-6d62-46a9-b9c5-c8643eeb89f4
z:\hap\1993\5\107.pdf, 1993, 5, f951cb2a-c4f8-4c50-817d-a1d0abff29b0
