1991, 14, L
1961, 18, L
1961, 19, R
1961, 12, L
1961, 13, R
1961, 10, L
1961, 11, L
1961, 16, L
1961, 17, R
1961, 14, L
1961, 15, R
1980, 57, L
1980, 59, L
1980, 58, D
1977, 32, U
1977, 31, U
1977, 30, D
1991, 19, U
1977, 5, R
1984, 10, U
1991, 18, D
1988, 1, L
1988, 1, R
1991, 33, L
1995, 19, R
1995, 18, L
1979, 28, R
1979, 29, L
1995, 11, R
1979, 27, R
1995, 13, R
1995, 12, R
1995, 15, L
1979, 23, R
1995, 17, R
1995, 16, R
1991, 32, R
1968, 31, R
1968, 30, L
1975, 3, R
1975, 2, U
1975, 1, D
1975, 1, L
1975, 7, D
1975, 6, D
1975, 5, U
1975, 4, D
1975, 4, R
1975, 9, U
1975, 8, D
1979, 11, U
1986, 19, R
1986, 18, L
1983, 15, L
1986, 11, R
1983, 12, R
1986, 13, R
1986, 12, L
1986, 15, L
1986, 14, R
1986, 17, L
1979, 16, R
1979, 15, L
1979, 9, R
1979, 8, R
1979, 7, R
1979, 6, L
1979, 5, R
1979, 4, R
1979, 3, L
1979, 2, R
1979, 1, L
1961, 1, L
1961, 2, R
1961, 3, L
1961, 4, R
1961, 5, L
1961, 6, R
1961, 7, L
1961, 8, R
1961, 9, L
1951, 1, R
1951, 3, D
1951, 2, D
1951, 5, D
1951, 4, D
1951, 7, D
1951, 6, D
1951, 9, D
1951, 9, L
1951, 8, D
1993, 23, D
1997, 17, L
1997, 16, R
1997, 15, L
1997, 14, R
1997, 13, R
1997, 12, L
1997, 11, L
1997, 10, L
1997, 19, R
1997, 18, R
1993, 7, L
1993, 6, R
1993, 5, L
1993, 4, R
1993, 3, L
1993, 2, R
1993, 1, L
1955, 2, R
1955, 9, D
1955, 8, U
1993, 9, U
1993, 8, R
1990, 15, L
1991, 30, R
1985, 10, R
1985, 11, L
1985, 12, L
1985, 13, R
1985, 14, L
1985, 15, L
1985, 16, R
1985, 17, R
1985, 18, L
1985, 19, L
1984, 17, R
1977, 1, U
1984, 15, U
1984, 14, D
1984, 13, U
1984, 12, D
1984, 11, D
1993, 34, U
1977, 3, R
1984, 19, D
1984, 18, U
1977, 2, D
1983, 8, U
1983, 9, L
1993, 33, L
1990, 18, L
1990, 19, L
1990, 16, R
1990, 17, L
1990, 14, R
1993, 32, L
1990, 12, L
1990, 13, L
1990, 10, R
1990, 11, L
1993, 35, R
1983, 4, L
1993, 37, R
1993, 36, R
1993, 31, R
1977, 4, L
1977, 7, D
1977, 6, U
1977, 9, D
1977, 8, U
1983, 6, D
1983, 7, L
1983, 1, R
1983, 2, R
1983, 3, L
1987, 24, L
1973, 5, U
1973, 4, L
1973, 7, L
1973, 6, L
1973, 1, R
1973, 3, L
1973, 2, L
1965, 85, L
1965, 84, D
1973, 9, D
1973, 8, L
1981, 30, R
1997, 3, L
1997, 2, R
1997, 1, L
1997, 1, R
1997, 7, R
1997, 6, R
1997, 5, L
1997, 4, R
1997, 9, L
1997, 8, R
1981, 6, L
1981, 7, R
1981, 4, R
1981, 5, L
1981, 2, L
1981, 3, R
1981, 1, L
1981, 8, R
1981, 9, L
1987, 8, R
1987, 9, R
1987, 1, L
1987, 2, R
1987, 3, R
1987, 4, L
1987, 4, R
1987, 5, L
1987, 6, R
1987, 7, R
1984, 16, L
1990, 21, D
1983, 29, U
1978, 14, L
1978, 15, L
1978, 16, R
1978, 17, L
1978, 10, R
1978, 11, L
1978, 12, R
1978, 13, L
1978, 18, R
1978, 19, L
1951, 11, R
1951, 10, D
1961, 20, D
1985, 2, L
1985, 3, R
1985, 1, L
1985, 6, L
1985, 7, L
1985, 4, R
1985, 5, R
1980, 48, R
1980, 49, D
1985, 8, D
1985, 9, R
1979, 14, L
1985, 29, L
1985, 28, R
1985, 21, L
1985, 20, R
1985, 23, L
1985, 22, L
1985, 25, R
1985, 24, R
1985, 27, L
1985, 26, L
1977, 20, R
1977, 21, U
1977, 22, D
1977, 23, U
1958, 4, U
1958, 4, L
1977, 25, U
1958, 6, D
1977, 27, U
1977, 28, U
1977, 28, L
1958, 9, D
1972, 8, D
1972, 9, L
1972, 4, L
1972, 5, R
1972, 6, R
1972, 7, L
1972, 1, R
1972, 1, L
1972, 2, L
1972, 3, L
1979, 19, L
1979, 18, R
1983, 18, L
1983, 19, L
1983, 16, L
1983, 17, L
1983, 14, R
1979, 10, L
1979, 17, L
1983, 13, R
1983, 10, R
1983, 10, L
1983, 11, R
1991, 5, L
1991, 4, R
1991, 7, L
1991, 6, L
1991, 1, L
1991, 1, R
1980, 30, L
1991, 3, L
1991, 2, R
1991, 9, R
1991, 8, R
1968, 20, R
1968, 21, L
1968, 22, R
1968, 23, L
1968, 24, R
1968, 25, R
1968, 26, R
1968, 27, R
1968, 28, L
1968, 29, R
1995, 40, L
1995, 41, R
1979, 13, L
1984, 27, R
1973, 14, D
1973, 11, D
1973, 10, R
1973, 13, L
1973, 12, U
1952, 2, L
1952, 3, D
1952, 3, R
1952, 1, L
1952, 4, L
1952, 5, R
1979, 12, R
1991, 31, L
1995, 1, L
1979, 26, R
1995, 3, L
1995, 2, L
1995, 5, R
1995, 4, L
1995, 7, R
1995, 6, R
1995, 9, R
1995, 8, R
1995, 8, L
1979, 24, L
1991, 36, L
1979, 25, R
1991, 35, R
1975, 22, L
1975, 23, U
1975, 20, D
1975, 21, U
1975, 24, D
1975, 25, U
1979, 20, D
1979, 21, L
1978, 29, R
1978, 28, R
1978, 25, L
1978, 24, R
1978, 27, R
1978, 26, R
1978, 21, R
1978, 20, L
1978, 23, R
1978, 22, L
1993, 30, R
1993, 30, L
1995, 23, R
1983, 30, R
1991, 34, L
1978, 26E, L
1990, 29, R
1978, 8, R
1978, 9, R
1978, 6, R
1978, 7, R
1978, 4, R
1978, 5, R
1990, 27, R
1990, 26, R
1990, 25, L
1978, 1, L
1993, 26, L
1993, 27, L
1993, 24, L
1993, 25, R
1990, 8, L
1990, 9, L
1993, 20, R
1993, 21, R
1990, 4, L
1990, 5, L
1990, 6, R
1990, 7, L
1990, 1, R
1993, 28, R
1990, 3, L
1977, 19, R
1977, 18, D
1977, 11, U
1977, 10, U
1977, 13, U
1977, 12, D
1977, 15, D
1977, 14, U
1977, 17, D
1977, 16, U
1987, 29, D
1987, 28, D
1987, 25, U
1968, 19, D
1968, 18, L
1955, 3, R
1968, 11, D
1968, 10, R
1968, 13, L
1968, 12, R
1968, 12, L
1968, 15, L
1968, 14, R
1968, 17, L
1968, 16, R
1968, 1, L
1968, 3, L
1968, 2, L
1968, 5, R
1968, 4, L
1968, 7, R
1968, 6, R
1968, 9, L
1968, 8, R
1984, 3, L
1984, 2, U
1984, 1, D
1984, 7, U
1984, 6, U
1984, 5, U
1984, 4, D
1984, 4, L
1984, 9, U
1984, 8, U
1988, 13, D
1988, 12, L
1988, 11, R
1988, 10, L
1988, 14, R
1986, 10, R
1955, 10, L
1989, 29, D
1989, 28, L
1989, 25, L
1989, 24, L
1985, 30, R
1986, 16, R
1989, 21, R
1989, 20, L
1989, 23, R
1989, 22, L
1995, 10, R
1984, 30, L
1995, 37, D
